"","km_sq","easting","northing","nR","nSpp","minyear","maxyear"
"486","NR7285",172000,685000,7,9,2003,2014
"487","NR7082",170000,682000,5,6,2003,2004
"488","NR6977",169000,677000,3,6,2003,2017
"489","NR7079",170000,679000,5,5,2003,2012
"490","NR6978",169000,678000,7,7,2003,2017
"491","NR6979",169000,679000,7,6,2003,2017
"492","NR7081",170000,681000,6,7,2003,2005
"493","NM7614",176000,714000,17,12,2003,2017
"494","NM7804",178000,704000,5,9,2003,2010
"495","NM6309",163000,709000,3,7,2003,2013
"496","NR7024",170000,624000,3,3,2003,2005
"497","NR6522",165000,622000,10,7,2003,2010
"498","NR6524",165000,624000,21,10,2003,2014
"499","NR6421",164000,621000,13,5,2003,2016
"500","NR6826",168000,626000,11,5,2003,2012
"501","NR6926",169000,626000,29,11,2003,2016
"502","NR6825",168000,625000,9,10,2003,2012
"503","NR7026",170000,626000,7,5,2003,2012
"504","NS1485",214000,685000,6,3,2003,2017
"505","NN0348",203000,748000,5,8,2003,2013
"506","NS0235",202000,635000,4,3,2003,2014
"507","NM9844",198000,744000,14,10,2003,2016
"508","NS0955",209000,655000,3,3,2003,2010
"509","NS2474",224000,674000,4,6,2003,2013
"510","NM5328",153000,728000,5,4,2003,2016
"511","NM6020",160000,720000,3,5,2003,2015
"512","NM6122",161000,722000,5,5,2003,2016
"513","NM5743",157000,743000,26,9,2003,2017
"514","NN0046",2e+05,746000,17,13,2004,2016
"515","NN0349",203000,749000,7,5,2004,2015
"516","NM8415",184000,715000,3,5,2004,2012
"517","NM9012",190000,712000,10,7,2004,2007
"518","NN0018",2e+05,718000,5,6,2004,2012
"519","NM4539",145000,739000,3,4,2004,2012
"520","NR6948",169000,648000,8,10,2004,2014
"521","NR6949",169000,649000,5,8,2004,2006
"522","NS2949",229000,649000,7,8,2004,2017
"523","NS2154",221000,654000,3,4,2004,2012
"524","NS2254",222000,654000,3,3,2004,2013
"525","NN2504",225000,704000,4,5,2004,2015
"526","NM3952",139000,752000,8,9,2004,2016
"527","NM4442",144000,742000,7,9,2004,2014
"528","NM4052",140000,752000,5,9,2004,2013
"529","NR3147",131000,647000,3,5,2004,2011
"530","NR3458",134000,658000,4,3,2004,2013
"531","NR1854",118000,654000,4,3,2004,2013
"532","NR2770",127000,670000,6,7,2004,2005
"533","NR3659",136000,659000,3,9,2004,2015
"534","NR3246",132000,646000,3,4,2004,2017
"535","NR3345",133000,645000,3,3,2004,2013
"536","NR3453",134000,653000,3,8,2004,2004
"537","NR2842",128000,642000,5,4,2004,2017
"538","NR2259",122000,659000,3,2,2004,2011
"539","NM9013",190000,713000,4,5,2004,2017
"540","NM8811",188000,711000,4,4,2004,2005
"541","NM9515",195000,715000,24,5,2004,2016
"542","NM9214",192000,714000,3,5,2004,2012
"543","NM8812",188000,712000,3,1,2004,2005
"544","NM8912",189000,712000,40,16,2004,2016
"545","NR7790",177000,690000,4,5,2004,2006
"546","NS1556",215000,656000,6,9,2004,2017
"547","NN0131",201000,731000,14,8,2004,2013
"548","NM6642",166000,742000,13,12,2004,2017
"549","NN0103",201000,703000,3,3,2004,2010
"550","NR9795",197000,695000,7,6,2000,2017
"551","NR7994",179000,694000,3,5,2004,2008
"552","NR9292",192000,692000,4,3,2004,2017
"553","NR9695",196000,695000,24,11,2004,2016
"554","NM4326",143000,726000,3,7,2004,2008
"555","NM4026",140000,726000,3,5,2004,2016
"556","NR6448",164000,648000,8,6,2004,2017
"557","NM7232",172000,732000,20,12,2004,2017
"558","NS1655",216000,655000,3,4,2004,2015
"559","NM4138",141000,738000,6,6,2004,2016
"560","NR8640",186000,640000,7,10,2004,2012
"561","NM0147",101000,747000,21,7,2004,2017
"562","NL9740",97000,740000,397,9,2004,2017
"563","NL9741",97000,741000,11,3,2004,2017
"564","NM0345",103000,745000,6,4,2004,2014
"565","NM0849",108000,749000,3,2,2004,2013
"566","NL9943",99000,743000,8,5,2004,2011
"567","NM0847",108000,747000,5,7,2004,2017
"568","NL9838",98000,738000,12,7,2004,2011
"569","NM0343",103000,743000,3,3,2004,2015
"570","NL9345",93000,745000,4,4,2004,2015
"571","NL9747",97000,747000,5,4,2004,2016
"572","NL9442",94000,742000,12,7,2004,2017
"573","NM0848",108000,748000,9,5,2004,2016
"574","NM0750",107000,750000,5,3,2004,2013
"575","NL9847",98000,747000,4,1,2004,2013
"576","NM0448",104000,748000,7,3,2004,2017
