"","km_sq","Presence","easting","northing"
"315","NM5350",0,153000,750000
"316","NM5351",0,153000,751000
"317","NM5352",0,153000,752000
"318","NM5361",0,153000,761000
"319","NM5366",0,153000,766000
"320","NM5421",0,154000,721000
"321","NM5429",0,154000,729000
"322","NM5438",0,154000,738000
"323","NM5441",0,154000,741000
"324","NM5445",0,154000,745000
"325","NM5461",0,154000,761000
"326","NM5462",0,154000,762000
"327","NM5521",0,155000,721000
"328","NM5538",0,155000,738000
"329","NM5544",0,155000,744000
"330","NM5548",0,155000,748000
"331","NM5561",0,155000,761000
"332","NM5562",0,155000,762000
"333","NM5621",0,156000,721000
"334","NM5660",0,156000,760000
"335","NM5661",0,156000,761000
"336","NM5664",1,156000,764000
"337","NM5742",0,157000,742000
"338","NM5743",0,157000,743000
"339","NM5761",0,157000,761000
"340","NM5823",0,158000,723000
"341","NM5829",0,158000,729000
"342","NM5862",0,158000,762000
"343","NM5863",0,158000,763000
"344","NM5864",0,158000,764000
"345","NM5924",0,159000,724000
"346","NM5929",0,159000,729000
"347","NM5942",0,159000,742000
"348","NM5961",1,159000,761000
"349","NM5963",0,159000,763000
"350","NM6020",0,160000,720000
"351","NM6024",0,160000,724000
"352","NM6061",1,160000,761000
"353","NM6062",0,160000,762000
"354","NM6122",0,161000,722000
"355","NM6123",0,161000,723000
"356","NM6125",0,161000,725000
"357","NM6161",0,161000,761000
"358","NM6168",0,161000,768000
"359","NM6223",0,162000,723000
"360","NM6224",0,162000,724000
"361","NM6226",0,162000,726000
"362","NM6260",0,162000,760000
"363","NM6270",0,162000,770000
"364","NM6284",0,162000,784000
"365","NM6285",0,162000,785000
"366","NM6309",0,163000,709000
"367","NM6356",1,163000,756000
"368","NM6367",0,163000,767000
"369","NM6385",0,163000,785000
"370","NM6432",0,164000,732000
"371","NM6441",0,164000,741000
"372","NM6445",0,164000,745000
"373","NM6460",1,164000,760000
"374","NM6467",0,164000,767000
"375","NM6476",0,164000,776000
"376","NM6477",0,164000,777000
"377","NM6485",0,164000,785000
"378","NM6487",0,164000,787000
"379","NM6531",0,165000,731000
"380","NM6532",0,165000,732000
"381","NM6551",1,165000,751000
"382","NM6567",0,165000,767000
"383","NM6572",0,165000,772000
"384","NM6577",1,165000,777000
"385","NM6586",0,165000,786000
"386","NM6588",0,165000,788000
"387","NM6590",0,165000,790000
"388","NM6641",0,166000,741000
"389","NM6642",0,166000,742000
"390","NM6651",1,166000,751000
"391","NM6670",0,166000,770000
"392","NM6671",0,166000,771000
"393","NM6672",0,166000,772000
"394","NM6685",0,166000,785000
"395","NM6686",0,166000,786000
"396","NM6691",0,166000,791000
"397","NM6692",0,166000,792000
"398","NM6739",0,167000,739000
"399","NM6740",0,167000,740000
"400","NM6744",0,167000,744000
"401","NM6752",0,167000,752000
"402","NM6772",0,167000,772000
"403","NM6773",1,167000,773000
