"","km_sq","easting","northing","nR","nSpp","minyear","maxyear"
"270","NN0991",209000,791000,1,1,2001,2001
"271","NN1191",211000,791000,10,9,2001,2015
"272","NN1390",213000,790000,4,4,2001,2014
"273","NN2391",223000,791000,1,2,2001,2001
"274","NN2392",223000,792000,1,2,2001,2001
"275","NN2492",224000,792000,1,1,2001,2001
"276","NN2593",225000,793000,1,1,2001,2001
"277","NN2694",226000,794000,1,2,2001,2001
"278","NN2695",226000,795000,1,2,2001,2001
"279","NN2795",227000,795000,3,2,2001,2012
"280","NN1784",217000,784000,8,7,2001,2017
"281","NN1884",218000,784000,3,2,2001,2017
"282","NN1883",218000,783000,3,3,2001,2017
"283","NN1983",219000,783000,5,5,2001,2017
"284","NN1383",213000,783000,23,16,2001,2017
"285","NN1382",213000,782000,6,9,2001,2010
"286","NN1482",214000,782000,14,12,2001,2017
"287","NN1582",215000,782000,6,9,2001,2014
"288","NN1476",214000,776000,9,5,2001,2016
"289","NN1576",215000,776000,2,2,2001,2008
"290","NN1779",217000,779000,1,1,2001,2001
"291","NN1876",218000,776000,2,2,2001,2013
"292","NN1877",218000,777000,1,2,2001,2001
"293","NN1879",218000,779000,1,1,2001,2001
"294","NN1976",219000,776000,1,1,2001,2001
"295","NN1980",219000,780000,1,1,2001,2001
"296","NN1977",219000,777000,1,1,2001,2001
"297","NN2077",220000,777000,1,1,2001,2001
"298","NN2278",222000,778000,2,3,2001,2002
"299","NN2279",222000,779000,3,5,2001,2009
"300","NN2379",223000,779000,2,6,2001,2009
"301","NN2378",223000,778000,1,1,2001,2001
"302","NH2002",220000,802000,4,8,2001,2016
"303","NH2102",221000,802000,2,3,2001,2007
"304","NH2202",222000,802000,2,3,2001,2011
"305","NH2402",224000,802000,3,4,2001,2016
"306","NH3201",232000,801000,2,4,2001,2010
"307","NH3202",232000,802000,1,1,2001,2001
"308","NN1379",213000,779000,7,11,2001,2016
"309","NN1479",214000,779000,3,3,2001,2011
"310","NN1580",215000,780000,2,5,2001,2009
"311","NH3303",233000,803000,1,1,2001,2001
"312","NH0714",207000,814000,1,1,2001,2001
"313","NH0715",207000,815000,1,1,2001,2001
"314","NG6112",161000,812000,2,2,2002,2014
"315","NG7016",170000,816000,4,4,2002,2013
"316","NM8353",183000,753000,2,4,2002,2016
"317","NM9344",193000,744000,3,4,2002,2011
"318","NM8323",183000,723000,4,6,2002,2016
"319","NM4527",145000,727000,6,8,2002,2010
"320","NM8424",184000,724000,3,4,2002,2017
"321","NM8652",186000,752000,2,5,2002,2017
"322","NM9243",192000,743000,6,6,2002,2017
"323","NN0120",201000,720000,3,2,2002,2017
"324","NM7064",170000,764000,3,3,2002,2003
"325","NN0119",201000,719000,1,2,2002,2002
"326","NN0226",202000,726000,1,1,2002,2002
"327","NM7855",178000,755000,2,3,2002,2004
"328","NM6469",164000,769000,2,1,2002,2003
"329","NM8725",187000,725000,6,4,2002,2017
"330","NM4045",140000,745000,11,7,2002,2014
"331","NM8453",184000,753000,3,3,2002,2016
"332","NM4441",144000,741000,1,1,2002,2002
"333","NM9991",199000,791000,3,5,2002,2017
"334","NN0425",204000,725000,3,3,2002,2014
"335","NN0324",203000,724000,6,4,2002,2017
"336","NM8055",180000,755000,2,2,2002,2004
"337","NM9258",192000,758000,3,4,2002,2010
"338","NM6969",169000,769000,2,2,2002,2015
"339","NM8940",189000,740000,2,1,2002,2008
"340","NM9143",191000,743000,3,5,2002,2013
"341","NM8853",188000,753000,1,2,2002,2002
"342","NM5237",152000,737000,1,1,2002,2002
"343","NM8840",188000,740000,2,2,2002,2008
"344","NM6570",165000,770000,1,2,2002,2002
"345","NM4427",144000,727000,4,10,2002,2016
"346","NM4727",147000,727000,17,13,2002,2016
"347","NM3839",138000,739000,1,2,2002,2002
"348","NM4338",143000,738000,13,7,2002,2016
"349","NM4039",140000,739000,3,12,2002,2016
"350","NN0146",201000,746000,2,5,2002,2016
"351","NM5268",152000,768000,1,1,2002,2002
"352","NM5369",153000,769000,2,2,2002,2008
"353","NN2896",228000,796000,2,2,2002,2006
"354","NN0592",205000,792000,6,11,2002,2013
