"","km_sq","easting","northing","Presence"
"465","NR7075",170000,675000,0
"466","NR5978",159000,678000,0
"467","NR7273",172000,673000,0
"468","NR6739",167000,639000,0
"469","NN3218",232000,718000,0
"470","NM7615",176000,715000,0
"471","NM8630",186000,730000,0
"472","NR7690",176000,690000,0
"473","NN0233",202000,733000,0
"474","NN0537",205000,737000,0
"475","NN0538",205000,738000,0
"476","NM8004",180000,704000,0
"477","NR7887",178000,687000,0
"478","NR8490",184000,690000,0
"479","NN2741",227000,741000,0
"480","NS2054",220000,654000,0
"481","NM8422",184000,722000,0
"482","NM8522",185000,722000,0
"483","NM8423",184000,723000,0
"484","NR9568",195000,668000,0
"485","NS3278",232000,678000,0
"486","NR7285",172000,685000,0
"487","NR7082",170000,682000,0
"488","NR6977",169000,677000,0
"489","NR7079",170000,679000,0
"490","NR6978",169000,678000,0
"491","NR6979",169000,679000,0
"492","NR7081",170000,681000,0
"493","NM7614",176000,714000,0
"494","NM7804",178000,704000,0
"495","NM6309",163000,709000,0
"496","NR7024",170000,624000,0
"497","NR6522",165000,622000,0
"498","NR6524",165000,624000,0
"499","NR6421",164000,621000,0
"500","NR6826",168000,626000,0
"501","NR6926",169000,626000,0
"502","NR6825",168000,625000,0
"503","NR7026",170000,626000,0
"504","NS1485",214000,685000,0
"505","NN0348",203000,748000,0
"506","NS0235",202000,635000,0
"507","NM9844",198000,744000,0
"508","NS0955",209000,655000,0
"509","NS2474",224000,674000,0
"510","NM5328",153000,728000,0
"511","NM6020",160000,720000,0
"512","NM6122",161000,722000,0
"513","NM5743",157000,743000,0
"514","NN0046",2e+05,746000,0
"515","NN0349",203000,749000,0
"516","NM8415",184000,715000,0
"517","NM9012",190000,712000,0
"518","NN0018",2e+05,718000,0
"519","NM4539",145000,739000,0
"520","NR6948",169000,648000,0
"521","NR6949",169000,649000,0
"522","NS2949",229000,649000,0
"523","NS2154",221000,654000,0
"524","NS2254",222000,654000,0
"525","NN2504",225000,704000,0
"526","NM3952",139000,752000,0
"527","NM4442",144000,742000,0
"528","NM4052",140000,752000,0
"529","NR3147",131000,647000,0
"530","NR3458",134000,658000,0
"531","NR1854",118000,654000,0
"532","NR2770",127000,670000,0
"533","NR3659",136000,659000,0
"534","NR3246",132000,646000,0
"535","NR3345",133000,645000,0
"536","NR3453",134000,653000,0
"537","NR2842",128000,642000,0
"538","NR2259",122000,659000,0
"539","NM9013",190000,713000,0
"540","NM8811",188000,711000,0
"541","NM9515",195000,715000,0
"542","NM9214",192000,714000,0
"543","NM8812",188000,712000,0
"544","NM8912",189000,712000,0
"545","NR7790",177000,690000,0
"546","NS1556",215000,656000,0
"547","NN0131",201000,731000,0
"548","NM6642",166000,742000,0
"549","NN0103",201000,703000,0
"550","NR9795",197000,695000,0
"551","NR7994",179000,694000,0
