,ID,X,Y,species,adults
2091,3048,-5.135961451,56.51374543,Chequered Skipper,Absent
2092,3049,-5.135961451,56.51374543,Chequered Skipper,Absent
2094,3051,-5.135961451,56.51374543,Chequered Skipper,Absent
2096,3053,-5.134338919,56.51378641,Chequered Skipper,Absent
2097,3054,-5.134338919,56.51378641,Chequered Skipper,Absent
2100,3057,-5.134338919,56.51378641,Chequered Skipper,Absent
2101,3058,-5.131093842,56.51386831,Chequered Skipper,Absent
2102,3059,-5.131093842,56.51386831,Chequered Skipper,Absent
2103,3060,-5.131093842,56.51386831,Chequered Skipper,Absent
2105,3062,-5.131093842,56.51386831,Chequered Skipper,Absent
2106,3063,-5.129545293,56.51480628,Chequered Skipper,Absent
2107,3064,-5.129545293,56.51480628,Chequered Skipper,Absent
2110,3067,-5.129545293,56.51480628,Chequered Skipper,Absent
2111,3068,-5.126374037,56.51578511,Chequered Skipper,Absent
2112,3069,-5.126374037,56.51578511,Chequered Skipper,Absent
2114,3071,-5.126374037,56.51578511,Chequered Skipper,Absent
2115,3072,-5.126374037,56.51578511,Chequered Skipper,Absent
2116,3073,-5.123202615,56.51676386,Chequered Skipper,Absent
2117,3074,-5.123202615,56.51676386,Chequered Skipper,Absent
2120,3077,-5.123202615,56.51676386,Chequered Skipper,Absent
2124,3081,-5.121653752,56.51770174,Chequered Skipper,Absent
2125,3082,-5.121653752,56.51770174,Chequered Skipper,Absent
2126,3083,-5.16653979,56.49049581,Chequered Skipper,Absent
2131,3088,-5.163520999,56.49326961,Chequered Skipper,Absent
2132,3089,-5.163520999,56.49326961,Chequered Skipper,Absent
2136,3093,-5.162048794,56.495105,Chequered Skipper,Absent
2141,3098,-5.162646606,56.5022812,Chequered Skipper,Absent
2142,3099,-5.162646606,56.5022812,Chequered Skipper,Absent
2145,3102,-5.162870857,56.50497228,Chequered Skipper,Absent
2148,3105,-5.162870857,56.50497228,Chequered Skipper,Absent
2150,3107,-5.160651131,56.49783739,Chequered Skipper,Absent
2151,3108,-5.160651131,56.49783739,Chequered Skipper,Absent
2154,3111,-5.160949902,56.5014255,Chequered Skipper,Absent
2156,3113,-5.160949902,56.5014255,Chequered Skipper,Absent
2157,3114,-5.160949902,56.5014255,Chequered Skipper,Absent
2158,3115,-5.161398187,56.50680766,Chequered Skipper,Absent
2163,3120,-5.159178617,56.49967275,Chequered Skipper,Absent
2164,3121,-5.159178617,56.49967275,Chequered Skipper,Absent
2165,3122,-5.159178617,56.49967275,Chequered Skipper,Absent
2166,3123,-5.159178617,56.49967275,Chequered Skipper,Absent
